     Time                caller                       callee          
 322.153839      inaro.wallpaper-2281     => surfaceflinger           
 322.165802      inaro.wallpaper-2281     => surfaceflinger           
 322.176086      inaro.wallpaper-2281     => surfaceflinger           
 322.194885      inaro.wallpaper-2281     => surfaceflinger           
 322.205200      inaro.wallpaper-2281     => surfaceflinger           
 322.220917      inaro.wallpaper-2281     => surfaceflinger           
 322.231140      inaro.wallpaper-2281     => surfaceflinger           
 322.250244      inaro.wallpaper-2281     => surfaceflinger           
 322.260498      inaro.wallpaper-2281     => surfaceflinger           
 322.276428      inaro.wallpaper-2281     => surfaceflinger           
 322.287170      inaro.wallpaper-2281     => surfaceflinger           
 322.305054      inaro.wallpaper-2281     => surfaceflinger           
 322.315460      inaro.wallpaper-2281     => surfaceflinger           
 322.331909      inaro.wallpaper-2281     => surfaceflinger           
 322.342529      inaro.wallpaper-2281     => surfaceflinger           
 322.358154      inaro.wallpaper-2281     => surfaceflinger           
 322.368835      inaro.wallpaper-2281     => surfaceflinger           
 322.384552      inaro.wallpaper-2281     => surfaceflinger           
 322.394958      inaro.wallpaper-2281     => surfaceflinger           
 322.414062      inaro.wallpaper-2281     => surfaceflinger           
 322.424500      inaro.wallpaper-2281     => surfaceflinger           
 322.440491      inaro.wallpaper-2281     => surfaceflinger           
 322.451263      inaro.wallpaper-2281     => surfaceflinger           
 322.466980      inaro.wallpaper-2281     => surfaceflinger           
 322.477875      inaro.wallpaper-2281     => surfaceflinger           
 322.493652      inaro.wallpaper-2281     => surfaceflinger           
 322.504028      inaro.wallpaper-2281     => surfaceflinger           
 322.523041      inaro.wallpaper-2281     => surfaceflinger           
 322.533569      inaro.wallpaper-2281     => surfaceflinger           
 322.549500      inaro.wallpaper-2281     => surfaceflinger           
 322.559967      inaro.wallpaper-2281     => surfaceflinger           
 322.572296      inaro.wallpaper-2281     => surfaceflinger           
 322.582703      inaro.wallpaper-2281     => surfaceflinger           
 322.601807      inaro.wallpaper-2281     => surfaceflinger           
 322.612244      inaro.wallpaper-2281     => surfaceflinger           
 322.628693      inaro.wallpaper-2281     => surfaceflinger           
 322.639130      inaro.wallpaper-2281     => surfaceflinger           
 322.654785      inaro.wallpaper-2281     => surfaceflinger           
 322.666046      inaro.wallpaper-2281     => surfaceflinger           
 322.680847      inaro.wallpaper-2281     => surfaceflinger           
 322.691772      inaro.wallpaper-2281     => surfaceflinger           
 322.709045      inaro.wallpaper-2281     => surfaceflinger           
 322.720032      inaro.wallpaper-2281     => surfaceflinger           
 322.734283      inaro.wallpaper-2281     => surfaceflinger           
 322.746338      inaro.wallpaper-2281     => surfaceflinger           
 322.764954      inaro.wallpaper-2281     => surfaceflinger           
 322.776093      inaro.wallpaper-2281     => surfaceflinger           
 322.793793      inaro.wallpaper-2281     => surfaceflinger           
 322.804810      inaro.wallpaper-2281     => surfaceflinger           
 323.948212      inaro.wallpaper-2281     => surfaceflinger           
 323.958710      inaro.wallpaper-2281     => surfaceflinger           
 323.976654      inaro.wallpaper-2281     => surfaceflinger           
 323.987000      inaro.wallpaper-2281     => surfaceflinger           
 324.004761      inaro.wallpaper-2281     => surfaceflinger           
 324.015106      inaro.wallpaper-2281     => surfaceflinger           
 324.032806      inaro.wallpaper-2281     => surfaceflinger           
 324.043213      inaro.wallpaper-2281     => surfaceflinger           
 324.060883      inaro.wallpaper-2281     => surfaceflinger           
 324.071289      inaro.wallpaper-2281     => surfaceflinger           
 324.089050      inaro.wallpaper-2281     => surfaceflinger           
 324.099579      inaro.wallpaper-2281     => surfaceflinger           
 324.116821      inaro.wallpaper-2281     => surfaceflinger           
